Departamento,date,sum_ValorObservado
<nil>,2014-02-04,11.412500000000001
<nil>,2014-02-05,11.075000000000001
<nil>,2014-02-06,10.495833333333332
<nil>,2014-02-07,10.795833333333334
<nil>,2014-02-08,11.429166666666665
<nil>,2014-02-09,10.887500000000001
<nil>,2014-02-10,11.291666666666666
<nil>,2014-02-11,12.045833333333336
<nil>,2014-02-12,12.991666666666669
<nil>,2014-02-13,13.012500000000001
<nil>,2014-02-14,12.154166666666667
<nil>,2014-02-15,11.354166666666666
<nil>,2014-02-16,11.670833333333336
<nil>,2014-02-17,10.429166666666665
<nil>,2014-02-18,10.954166666666666
<nil>,2014-02-19,11.683333333333335
<nil>,2014-02-20,10.204166666666666
<nil>,2014-02-21,10.737499999999999
<nil>,2014-02-22,11.649999999999999
<nil>,2014-02-23,10.183333333333334
<nil>,2014-02-24,9.216666666666667
<nil>,2014-02-25,10.241666666666665
<nil>,2014-02-26,9.920833333333336
<nil>,2014-02-27,10.679166666666667
<nil>,2014-02-28,9.908333333333333
<nil>,2014-03-01,10.916666666666666
<nil>,2014-03-02,11.312500000000002
<nil>,2014-03-03,10.020833333333334
<nil>,2014-03-04,10.945833333333333
<nil>,2014-03-05,11.675000000000002
<nil>,2014-03-06,12.524999999999999
<nil>,2014-03-07,11.541666666666666
<nil>,2014-03-08,11.666666666666666
<nil>,2014-03-09,10.924999999999999
<nil>,2014-03-10,10.379166666666665
<nil>,2014-03-11,11.575000000000001
<nil>,2014-03-12,10.404166666666667
<nil>,2014-03-13,11.816666666666668
<nil>,2014-03-14,11.929166666666665
<nil>,2014-03-15,12.075000000000001
<nil>,2014-03-16,11.691666666666665
<nil>,2014-03-17,12.191666666666668
<nil>,2014-03-18,11.050000000000002
<nil>,2014-03-19,11.083333333333334
<nil>,2014-03-20,10.754166666666668
<nil>,2014-03-21,11.870833333333332
<nil>,2014-03-22,12.424999999999999
<nil>,2014-03-23,12.245833333333337
<nil>,2014-03-24,11.737499999999999
<nil>,2014-03-25,11.749999999999998
<nil>,2014-03-26,11.825000000000001
<nil>,2014-03-27,11.816666666666668
<nil>,2014-03-28,10.945833333333333
<nil>,2014-03-29,11.254166666666668
<nil>,2014-03-30,12.045833333333333
<nil>,2014-03-31,11.487500000000002
