Departamento,year,month,agg_ValorObservado
AMAZONAS,2017,12,25.5387189292543
AMAZONAS,2018,1,25.168831168831176
AMAZONAS,2018,2,25.3641935483871
AMAZONAS,2018,3,26.371917808219184
AMAZONAS,2018,4,25.393363499245847
AMAZONAS,2018,5,25.120438957475994
AMAZONAS,2018,6,23.149374130737133
AMAZONAS,2018,7,24.008310626702997
AMAZONAS,2018,8,24.007930107526878
AMAZONAS,2018,9,24.901808066759386
AMAZONAS,2018,10,25.445163934426233
AMAZONAS,2018,11,25.637014470677844
AMAZONAS,2018,12,24.48470233609646
AMAZONAS,2019,1,24.545623145400594
AMAZONAS,2019,2,25.26239043824701
AMAZONAS,2019,3,29.819854545454543
AMAZONAS,2019,4,28.798264352469957
AMAZONAS,2019,5,26.324712643678165
AMAZONAS,2019,6,31.26087388282026
AMAZONAS,2019,7,33.01212797619047
AMAZONAS,2019,8,34.19796814936848
AMAZONAS,2019,9,34.42574059247399
AMAZONAS,2019,10,34.159187887130116
AMAZONAS,2019,11,34.10945945945943
AMAZONAS,2019,12,28.921925925925898
AMAZONAS,2020,1,26.53736517719572
AMAZONAS,2020,2,26.54803063457332
AMAZONAS,2020,3,27.00590659340659
AMAZONAS,2020,4,26.484923076923103
AMAZONAS,2020,5,25.810985116938337
AMAZONAS,2020,6,25.927511591962915
AMAZONAS,2020,7,25.999033149171265
AMAZONAS,2020,8,26.101140684410673
AMAZONAS,2020,9,26.570694645441403
AMAZONAS,2020,10,26.331946508172383
AMAZONAS,2020,11,26.306642066420665
AMAZONAS,2020,12,25.970630891950677
AMAZONAS,2021,1,25.76250000000004
AMAZONAS,2021,2,25.848954983922813
AMAZONAS,2021,3,25.48923076923079
AMAZONAS,2021,4,25.836375158428364
AMAZONAS,2021,5,25.683392857142884
AMAZONAS,2021,6,25.470335820895524
AMAZONAS,2021,7,25.036548223350234
AMAZONAS,2021,8,26.25533088235297
AMAZONAS,2021,9,28.26833333333333
AMAZONAS,2021,10,31.266666666666666
AMAZONAS,2022,2,24.357421875000007
AMAZONAS,2022,3,24.326229508196732
AMAZONAS,2022,4,24.5029288702929
AMAZONAS,2022,5,24.171617161716185
AMAZONAS,2022,6,22.46060606060606
AMAZONAS,2022,8,24.00132013201318
AMAZONAS,2022,9,25.1188049209139
AMAZONAS,2022,10,24.770196671709535
AMAZONAS,2022,11,22.37575757575757
AMAZONAS,2022,12,24.98304721030041
AMAZONAS,2023,1,24.33079268292683
AMAZONAS,2023,2,23.85120481927711
AMAZONAS,2023,7,26.92888888888891
AMAZONAS,2023,8,26.162485207100605
AMAZONAS,2023,9,25.038216694772398
AMAZONAS,2023,10,26.181084618980833
AMAZONAS,2023,11,24.690763684037957
AMAZONAS,2023,12,24.224251250206056
AMAZONAS,2024,1,24.26298258287196
AMAZONAS,2024,2,25.283879394796877
AMAZONAS,2024,3,25.38022988505737
AMAZONAS,2024,4,25.38473612656023
AMAZONAS,2024,5,24.87089639115244
AMAZONAS,2024,6,25.11826167612402
AMAZONAS,2024,7,25.19300507838397
AMAZONAS,2024,8,26.990697575499112
AMAZONAS,2024,9,28.105491939467292
AMAZONAS,2024,10,27.7370324492368
AMAZONAS,2024,11,26.67741713656982
AMAZONAS,2024,12,26.439123021268173
AMAZONAS,2025,1,26.399139707858897
AMAZONAS,2025,2,26.41877361940757
AMAZONAS,2025,3,26.6094275829531
ANTIOQUIA,2005,1,22.200146121147714
ANTIOQUIA,2005,2,25.321296296296286
ANTIOQUIA,2005,3,24.116614420062703
ANTIOQUIA,2005,4,23.491775117126494
ANTIOQUIA,2005,5,21.036701030927837
ANTIOQUIA,2005,6,19.76785202179524
ANTIOQUIA,2005,7,19.775673554799898
ANTIOQUIA,2005,8,19.278369905956115
ANTIOQUIA,2005,9,20.396199859254043
ANTIOQUIA,2005,10,20.8170365535248
ANTIOQUIA,2005,11,20.128290385148237
ANTIOQUIA,2005,12,19.2668923651646
ANTIOQUIA,2006,1,19.019631212053067
ANTIOQUIA,2006,2,19.32829634464752
ANTIOQUIA,2006,3,19.996472619634936
ANTIOQUIA,2006,4,20.256631892697467
ANTIOQUIA,2006,5,18.935241752487347
ANTIOQUIA,2006,6,18.74514640638864
ANTIOQUIA,2006,7,19.384933676499706
ANTIOQUIA,2006,8,19.34731974653194
ANTIOQUIA,2006,9,19.364816943030704
ANTIOQUIA,2006,10,19.27833652853562
ANTIOQUIA,2006,11,18.941998199819988
ANTIOQUIA,2006,12,19.466784392869158
ANTIOQUIA,2007,1,20.187389620449267
ANTIOQUIA,2007,2,20.03056523715714
ANTIOQUIA,2007,3,19.610220539828838
ANTIOQUIA,2007,4,19.533777388255913
ANTIOQUIA,2007,5,19.397791751974253
ANTIOQUIA,2007,6,19.728886951467594
ANTIOQUIA,2007,7,19.589894503053856
ANTIOQUIA,2007,8,19.05257248436612
ANTIOQUIA,2007,9,19.509938837920483
ANTIOQUIA,2007,10,18.644259567387685
ANTIOQUIA,2007,11,19.09433817903596
ANTIOQUIA,2007,12,18.544599082713898
ANTIOQUIA,2008,1,18.74796501249554
ANTIOQUIA,2008,2,18.81932350390286
ANTIOQUIA,2008,3,18.61212969058591
ANTIOQUIA,2008,4,19.16074034525716
ANTIOQUIA,2008,5,18.853562447611065
ANTIOQUIA,2008,6,19.235430766416684
ANTIOQUIA,2008,7,18.421272470919995
ANTIOQUIA,2008,8,18.65221788502484
ANTIOQUIA,2008,9,19.048643216080407
ANTIOQUIA,2008,10,18.78574890935531
ANTIOQUIA,2008,11,18.583860121049092
ANTIOQUIA,2008,12,18.80102802188692
ANTIOQUIA,2009,1,18.706625600961544
ANTIOQUIA,2009,2,18.935369928400952
ANTIOQUIA,2009,3,18.828020901371648
ANTIOQUIA,2009,4,18.722969385949394
ANTIOQUIA,2009,5,18.88888165391503
ANTIOQUIA,2009,6,18.708995368721055
ANTIOQUIA,2009,7,20.353913575214026
ANTIOQUIA,2009,8,20.62698412698413
ANTIOQUIA,2009,9,21.522692673644155
ANTIOQUIA,2009,10,19.8882725485914
ANTIOQUIA,2009,11,19.40659407138536
ANTIOQUIA,2009,12,18.864008016032063
ANTIOQUIA,2010,1,20.107933922754768
ANTIOQUIA,2010,2,20.670318105716333
ANTIOQUIA,2010,3,20.5613728416116
ANTIOQUIA,2010,4,19.53968881205236
ANTIOQUIA,2010,5,19.098632812499996
ANTIOQUIA,2010,6,17.485536159600993
ANTIOQUIA,2010,7,18.600985615343635
ANTIOQUIA,2010,8,19.066931592392844
ANTIOQUIA,2010,9,18.59218415417559
ANTIOQUIA,2010,10,18.73564650059312
ANTIOQUIA,2010,11,15.819313682358118
ANTIOQUIA,2010,12,16.949503311258283
ANTIOQUIA,2011,1,17.98611427270658
ANTIOQUIA,2011,2,19.166490416391277
ANTIOQUIA,2011,3,19.156965376782075
ANTIOQUIA,2011,4,18.512565905096668
ANTIOQUIA,2011,5,19.067469095640863
ANTIOQUIA,2011,6,20.200722543352605
ANTIOQUIA,2011,7,19.952285661832203
ANTIOQUIA,2011,8,20.21727190605239
ANTIOQUIA,2011,9,20.39159761032954
ANTIOQUIA,2011,10,18.17095662748277
ANTIOQUIA,2011,11,18.073048368953884
ANTIOQUIA,2011,12,18.94707792207792
ANTIOQUIA,2012,1,19.40935251798562
ANTIOQUIA,2012,2,19.28228301886792
ANTIOQUIA,2012,3,19.23956997359487
ANTIOQUIA,2012,4,18.23839050131926
ANTIOQUIA,2012,5,17.621032840310853
ANTIOQUIA,2012,6,19.165099268547547
ANTIOQUIA,2012,7,19.790740740740738
ANTIOQUIA,2012,8,19.314719764011798
ANTIOQUIA,2012,9,19.879769374258096
ANTIOQUIA,2012,10,19.93114961961115
ANTIOQUIA,2012,11,20.397501643655488
ANTIOQUIA,2012,12,20.097463241234443
ANTIOQUIA,2013,1,21.07351298061124
ANTIOQUIA,2013,2,20.448875255623722
ANTIOQUIA,2013,3,21.192512643394593
ANTIOQUIA,2013,4,21.119145169448657
ANTIOQUIA,2013,5,20.52304960476573
ANTIOQUIA,2013,6,20.664673847270965
ANTIOQUIA,2013,7,20.195382817066047
ANTIOQUIA,2013,8,20.735272450146063
ANTIOQUIA,2013,9,20.183727598566307
ANTIOQUIA,2013,10,20.074440433212995
ANTIOQUIA,2013,11,19.756161736286604
ANTIOQUIA,2013,12,19.93635987305092
ANTIOQUIA,2014,1,20.58245429435749
ANTIOQUIA,2014,2,21.41321671525753
ANTIOQUIA,2014,3,21.4131156462585
ANTIOQUIA,2014,4,21.32410401509027
ANTIOQUIA,2014,5,20.928440904298938
ANTIOQUIA,2014,6,21.64989703989704
ANTIOQUIA,2014,7,22.470275205425843
ANTIOQUIA,2014,8,21.349436550710443
ANTIOQUIA,2014,9,20.77907767907768
ANTIOQUIA,2014,10,20.111506243085188
ANTIOQUIA,2014,11,19.297651605231867
ANTIOQUIA,2014,12,21.16574280835413
ANTIOQUIA,2015,1,21.68522770761577
ANTIOQUIA,2015,2,21.865679715302495
ANTIOQUIA,2015,3,21.219401544401546
ANTIOQUIA,2015,4,20.507803104460915
ANTIOQUIA,2015,5,21.247702510658456
ANTIOQUIA,2015,6,21.49101803241269
ANTIOQUIA,2015,7,21.380668257756565
ANTIOQUIA,2015,8,21.67689772727273
ANTIOQUIA,2015,9,21.176833724876012
ANTIOQUIA,2015,10,19.085654761904763
ANTIOQUIA,2015,11,17.576829268292684
ANTIOQUIA,2015,12,19.054820512820516
ANTIOQUIA,2016,1,18.621333333333343
ANTIOQUIA,2016,2,18.919254087819212
ANTIOQUIA,2016,3,19.735309803921577
ANTIOQUIA,2016,4,19.075849999999996
ANTIOQUIA,2016,5,20.721144340088976
ANTIOQUIA,2016,6,21.14506766823938
ANTIOQUIA,2016,7,20.88351768259766
ANTIOQUIA,2016,8,21.616695818278057
ANTIOQUIA,2016,9,20.635564825629896
ANTIOQUIA,2016,10,20.162407444466673
ANTIOQUIA,2016,11,19.773982661907183
ANTIOQUIA,2016,12,19.808063275843132
ANTIOQUIA,2017,1,19.24165775401069
ANTIOQUIA,2017,2,20.476493855578727
ANTIOQUIA,2017,3,19.73946840249524
ANTIOQUIA,2017,4,19.42219311907121
ANTIOQUIA,2017,5,20.820334640005303
ANTIOQUIA,2017,6,20.512536702629244
ANTIOQUIA,2017,7,21.354983778382604
ANTIOQUIA,2017,8,21.096180757891688
ANTIOQUIA,2017,9,20.69070510692369
ANTIOQUIA,2017,10,20.38211809109111
ANTIOQUIA,2017,11,20.30346457135877
ANTIOQUIA,2017,12,20.57746546632617
ANTIOQUIA,2018,1,20.308669509124336
ANTIOQUIA,2018,2,20.73775251078461
ANTIOQUIA,2018,3,21.474929519995808
ANTIOQUIA,2018,4,20.169754115291955
ANTIOQUIA,2018,5,20.558231041566405
ANTIOQUIA,2018,6,20.857708499730645
ANTIOQUIA,2018,7,21.2780087664059
ANTIOQUIA,2018,8,21.45695142386141
ANTIOQUIA,2018,9,20.979318776171183
ANTIOQUIA,2018,10,20.406575137475297
ANTIOQUIA,2018,11,20.315728475019053
ANTIOQUIA,2018,12,21.087202395574103
ANTIOQUIA,2019,1,21.81889109721338
ANTIOQUIA,2019,2,21.841823768878672
ANTIOQUIA,2019,3,21.270005347338643
ANTIOQUIA,2019,4,21.029208876840606
ANTIOQUIA,2019,5,20.75993598812352
ANTIOQUIA,2019,6,20.814011318092366
ANTIOQUIA,2019,7,20.81257515078222
ANTIOQUIA,2019,8,21.408293291794514
ANTIOQUIA,2019,9,21.163389249281234
ANTIOQUIA,2019,10,19.248972713826504
ANTIOQUIA,2019,11,19.773400560889595
ANTIOQUIA,2019,12,20.243742989413164
ANTIOQUIA,2020,1,20.69887186975896
ANTIOQUIA,2020,2,21.47162080878944
ANTIOQUIA,2020,3,21.185616799428754
ANTIOQUIA,2020,4,20.824538235653723
ANTIOQUIA,2020,5,21.231300444504324
ANTIOQUIA,2020,6,20.13755674145385
ANTIOQUIA,2020,7,19.70962338370317
ANTIOQUIA,2020,8,20.31405382408916
ANTIOQUIA,2020,9,19.703532669600033
ANTIOQUIA,2020,10,19.533245773481365
ANTIOQUIA,2020,11,19.185841392020404
ANTIOQUIA,2020,12,19.546690385754125
ANTIOQUIA,2021,1,20.184064984295222
ANTIOQUIA,2021,2,20.088059029690477
ANTIOQUIA,2021,3,18.96551288974279
ANTIOQUIA,2021,4,20.01607667101524
ANTIOQUIA,2021,5,19.790767899978363
ANTIOQUIA,2021,6,19.321593478837464
ANTIOQUIA,2021,7,20.503492854641948
ANTIOQUIA,2021,8,19.566401960699775
ANTIOQUIA,2021,9,19.360017994288032
ANTIOQUIA,2021,10,19.13585542972371
ANTIOQUIA,2021,11,18.934046672961475
ANTIOQUIA,2021,12,19.411630112133714
ANTIOQUIA,2022,1,19.144316235535115
ANTIOQUIA,2022,2,19.74671564879341
ANTIOQUIA,2022,3,20.64908789386402
ANTIOQUIA,2022,4,19.566503672920284
ANTIOQUIA,2022,5,20.03522610475197
ANTIOQUIA,2022,6,18.698288214367107
ANTIOQUIA,2022,7,19.859906837297466
ANTIOQUIA,2022,8,19.101813277286112
ANTIOQUIA,2022,9,18.713042987699612
ANTIOQUIA,2022,10,18.847007960111466
ANTIOQUIA,2022,11,19.132281417096934
ANTIOQUIA,2022,12,19.06968930011196
ANTIOQUIA,2023,1,19.06155046763576
ANTIOQUIA,2023,2,19.88442267937533
ANTIOQUIA,2023,3,19.162193220213226
ANTIOQUIA,2023,4,19.70640172236879
ANTIOQUIA,2023,5,20.823435564037407
ANTIOQUIA,2023,6,21.077431428999866
ANTIOQUIA,2023,7,21.221335651677673
ANTIOQUIA,2023,8,21.155086821579616
ANTIOQUIA,2023,9,21.17466460072594
ANTIOQUIA,2023,10,18.350225260214334
ANTIOQUIA,2023,11,17.552715231788135
ANTIOQUIA,2024,3,24.650986944357903
ANTIOQUIA,2024,4,21.84623773571122
ANTIOQUIA,2024,5,22.777056768162495
ANTIOQUIA,2024,6,22.57290751149725
ANTIOQUIA,2024,7,22.441379661362028
ANTIOQUIA,2024,8,20.509013809836986
ANTIOQUIA,2024,9,19.764301235302995
ANTIOQUIA,2024,10,18.37263052762087
ANTIOQUIA,2024,11,19.025300044033372
ANTIOQUIA,2024,12,19.62800309124024
ANTIOQUIA,2025,1,19.688264317180405
ANTIOQUIA,2025,2,20.17921560058989
ANTIOQUIA,2025,3,19.66954565776237
ARAUCA,2015,7,4.91549872122762
ARAUCA,2015,8,2.2694896551724137
ARAUCA,2015,9,2.5029337094499295
ARAUCA,2015,10,2.9371711456859972
ARAUCA,2015,11,3.5032768361581916
ARAUCA,2015,12,3.375020408163265
ARAUCA,2016,1,5.62620218579235
ARAUCA,2016,2,4.763907380607815
ARAUCA,2016,3,5.065431266846361
ARAUCA,2016,4,4.172472067039107
ARAUCA,2016,5,3.6419455782312924
ARAUCA,2016,6,2.2520534458509145
ARAUCA,2016,7,2.048623978201635
ARAUCA,2016,8,2.27755829903978
ARAUCA,2016,9,2.39919770773639
ARAUCA,2016,10,3.259244264507423
ARAUCA,2016,11,3.771410018552876
ARAUCA,2016,12,3.1478940027894007
ARAUCA,2017,1,3.2968621236133133
ARAUCA,2017,2,3.766671949286847
ARAUCA,2017,3,24.85
ARAUCA,2017,4,18.594444444444445
ARAUCA,2017,5,27.704166666666666
ARAUCA,2017,6,35.224999999999994
ARAUCA,2017,7,14.816666666666668
ARAUCA,2017,8,26.325
ARAUCA,2017,9,2.5899553571428577
ARAUCA,2017,10,3.0024691358024693
ARAUCA,2017,11,3.464336917562723
ARAUCA,2017,12,3.5469635627530365
ARAUCA,2018,1,2.9749311294765834
ARAUCA,2018,2,3.7847507331378303
ARAUCA,2018,3,3.399999999999999
ARAUCA,2018,4,2.803663793103448
ARAUCA,2018,5,3.0211214953271024
ARAUCA,2018,6,4.5576671035386624
ARAUCA,2018,7,7.121399176954733
ARAUCA,2018,8,1.6645739910313906
ARAUCA,2018,9,5.664686998394864
ARAUCA,2018,10,9.84470284237726
ARAUCA,2018,11,3.937226277372262
ARAUCA,2018,12,3.4184573002754823
ARAUCA,2019,1,4.113368983957219
ARAUCA,2019,2,4.250534351145038
ARAUCA,2019,3,21.991022443890277
ARAUCA,2019,4,26.261250000000004
ARAUCA,2019,5,25.943548387096776
ARAUCA,2019,6,18.138631984585743
ARAUCA,2019,7,15.379672330097083
ARAUCA,2019,8,17.955644283121597
ARAUCA,2019,9,18.05769341386252
ARAUCA,2019,10,18.494982613015363
ARAUCA,2019,11,26.264725457570677
ARAUCA,2019,12,26.277807666442516
ARAUCA,2020,1,25.680843195266263
ARAUCA,2020,2,23.825393566050657
ARAUCA,2020,3,27.283549222797934
ARAUCA,2020,4,24.243424479166674
ARAUCA,2020,5,22.59324776785712
ARAUCA,2020,6,19.76341713699331
ARAUCA,2020,7,17.812888688598466
ARAUCA,2020,8,18.584040590405895
ARAUCA,2020,9,18.199720149253714
ARAUCA,2020,10,18.132985480943717
ARAUCA,2020,11,18.374808061420328
ARAUCA,2020,12,17.0430622009569
ARAUCA,2021,1,17.229319371727737
ARAUCA,2021,2,18.376088044021998
ARAUCA,2021,3,18.319111522443322
ARAUCA,2021,4,20.36987215119513
ARAUCA,2021,5,16.31233729485004
ARAUCA,2021,6,20.79572222222217
ARAUCA,2021,7,19.616226023846554
ARAUCA,2021,8,19.098460692688274
ARAUCA,2021,9,18.01960784313726
ARAUCA,2021,10,15.087474610697347
ARAUCA,2021,11,13.17565789473684
ARAUCA,2021,12,4.105446927374303
ARAUCA,2022,1,3.5567357512953377
ARAUCA,2022,2,3.4506738544474382
ARAUCA,2022,4,3.1065318818040413
ARAUCA,2022,5,3.3183946488294307
ARAUCA,2022,6,2.5493197278911546
ARAUCA,2022,8,2.0668918918918924
ARAUCA,2022,9,2.301940035273369
ARAUCA,2022,10,3.0874617737003085
ARAUCA,2022,11,3.0813953488372094
ARAUCA,2022,12,3.1590799031476995
ARAUCA,2023,1,2.7807098765432103
ARAUCA,2023,2,3.681308411214953
ARAUCA,2023,3,3.5540909090909127
ARAUCA,2023,4,3.27891061452514
ARAUCA,2023,5,4.045491251682368
ARAUCA,2023,6,2.9720000000000018
ARAUCA,2023,7,2.7855714285714246
ARAUCA,2023,8,2.8527407407407397
ARAUCA,2023,9,2.8851138353765355
ARAUCA,2023,10,3.573955431754872
ARAUCA,2023,11,4.01671641791045
ARAUCA,2023,12,4.620524691358025
ARAUCA,2024,1,5.565739385065886
