Departamento,year,day,agg_ValorObservado
ANTIOQUIA,2005,15,21.447328244274804
ANTIOQUIA,2006,1,19.324113475177302
ANTIOQUIA,2006,2,19.44324324324324
ANTIOQUIA,2006,3,18.833116883116883
ANTIOQUIA,2006,4,18.240939597315435
ANTIOQUIA,2006,5,16.121374045801527
ANTIOQUIA,2006,6,16.734146341463415
ANTIOQUIA,2006,7,16.6890625
ANTIOQUIA,2006,8,17.599999999999998
ANTIOQUIA,2006,9,17.956589147286827
ANTIOQUIA,2006,10,19.573248407643312
ANTIOQUIA,2006,11,19.379194630872476
ANTIOQUIA,2006,12,19.60933333333334
ANTIOQUIA,2006,13,19.336423841059602
ANTIOQUIA,2006,14,19.85369127516778
ANTIOQUIA,2006,15,19.755921052631578
ANTIOQUIA,2007,1,20.046261682242992
ANTIOQUIA,2007,2,20.144859813084118
ANTIOQUIA,2007,3,20.355288461538457
ANTIOQUIA,2007,4,19.36519607843137
ANTIOQUIA,2007,5,19.649275362318843
ANTIOQUIA,2007,6,19.95327102803739
ANTIOQUIA,2007,7,19.746261682242984
ANTIOQUIA,2007,8,19.851578947368417
ANTIOQUIA,2007,9,18.839344262295086
ANTIOQUIA,2007,10,19.64921465968586
ANTIOQUIA,2007,11,19.939999999999998
ANTIOQUIA,2007,12,20.5
ANTIOQUIA,2007,13,20.42645502645502
ANTIOQUIA,2007,14,20.474193548387095
ANTIOQUIA,2007,15,21.084102564102565
ANTIOQUIA,2008,1,18.934883720930237
ANTIOQUIA,2008,2,18.389371980676327
ANTIOQUIA,2008,3,17.786666666666665
ANTIOQUIA,2008,4,19.038118811881187
ANTIOQUIA,2008,5,19.859500000000004
ANTIOQUIA,2008,6,19.66137566137567
ANTIOQUIA,2008,7,18.378160919540232
ANTIOQUIA,2008,8,18.66111111111111
ANTIOQUIA,2008,9,17.569767441860463
ANTIOQUIA,2008,10,17.47542857142857
ANTIOQUIA,2008,11,18.35989304812834
ANTIOQUIA,2008,12,18.482967032967032
ANTIOQUIA,2008,13,18.75892857142857
ANTIOQUIA,2008,14,19.202762430939224
ANTIOQUIA,2008,15,18.76484848484849
ANTIOQUIA,2009,1,19.06028037383177
ANTIOQUIA,2009,2,19.932420091324197
ANTIOQUIA,2009,3,20.15479452054795
ANTIOQUIA,2009,4,19.876851851851853
ANTIOQUIA,2009,5,19.268981481481482
ANTIOQUIA,2009,6,18.701315789473686
ANTIOQUIA,2009,7,18.646698113207542
ANTIOQUIA,2009,8,18.406278026905827
ANTIOQUIA,2009,9,18.15654205607477
ANTIOQUIA,2009,10,19.270048309178748
ANTIOQUIA,2009,11,19.68630136986301
ANTIOQUIA,2009,12,19.39065420560747
ANTIOQUIA,2009,13,20.174226804123712
ANTIOQUIA,2009,14,18.241784037558684
ANTIOQUIA,2009,15,18.915
ANTIOQUIA,2010,1,19.086904761904755
ANTIOQUIA,2010,2,19.23378378378379
ANTIOQUIA,2010,3,19.055357142857147
ANTIOQUIA,2010,4,19.274698795180722
ANTIOQUIA,2010,5,19.159876543209876
ANTIOQUIA,2010,6,18.792857142857144
ANTIOQUIA,2010,7,19.52814371257485
ANTIOQUIA,2010,8,20.62796610169492
ANTIOQUIA,2010,12,22.448936170212765
ANTIOQUIA,2010,13,21.355752212389383
ANTIOQUIA,2010,14,19.239285714285717
ANTIOQUIA,2010,15,20.39876543209877
ANTIOQUIA,2011,1,17.91702127659575
ANTIOQUIA,2011,2,17.949305555555547
ANTIOQUIA,2011,3,17.38402777777778
ANTIOQUIA,2011,4,16.45314685314685
ANTIOQUIA,2011,5,17.47222222222223
ANTIOQUIA,2011,6,17.762937062937066
ANTIOQUIA,2011,7,16.71726618705036
ANTIOQUIA,2011,8,17.816911764705885
ANTIOQUIA,2011,9,18.095138888888886
ANTIOQUIA,2011,10,18.331944444444446
ANTIOQUIA,2011,11,18.93846153846154
ANTIOQUIA,2011,12,18.720138888888886
ANTIOQUIA,2011,13,18.04055944055945
ANTIOQUIA,2011,14,18.26201550387597
ANTIOQUIA,2011,15,18.706923076923076
ANTIOQUIA,2012,1,20.73841463414634
ANTIOQUIA,2012,2,19.779761904761894
ANTIOQUIA,2012,3,18.456024096385537
ANTIOQUIA,2012,4,19.05
ANTIOQUIA,2012,5,19.276433121019107
ANTIOQUIA,2012,6,19.293333333333333
ANTIOQUIA,2012,7,19.330357142857146
ANTIOQUIA,2012,8,19.559756097560978
ANTIOQUIA,2012,9,19.377710843373492
ANTIOQUIA,2012,10,19.91779141104294
ANTIOQUIA,2012,11,19.43963414634146
ANTIOQUIA,2012,12,19.76441717791411
ANTIOQUIA,2012,13,20.394578313253003
ANTIOQUIA,2012,14,20.400624999999998
ANTIOQUIA,2012,15,19.131547619047623
ANTIOQUIA,2013,1,20.31714285714286
ANTIOQUIA,2013,2,20.83804878048781
ANTIOQUIA,2013,3,21.270186335403725
ANTIOQUIA,2013,4,22.066887417218545
ANTIOQUIA,2013,5,21.20099502487562
ANTIOQUIA,2013,6,20.920398009950244
ANTIOQUIA,2013,7,21.132291666666664
ANTIOQUIA,2013,8,21.178835978835977
ANTIOQUIA,2013,9,20.808474576271184
ANTIOQUIA,2013,10,21.626108374384238
ANTIOQUIA,2013,11,21.334715025906732
ANTIOQUIA,2013,12,20.67094972067039
ANTIOQUIA,2013,13,19.970098039215685
ANTIOQUIA,2013,14,20.558536585365854
ANTIOQUIA,2013,15,20.530136986301372
ANTIOQUIA,2014,1,21.06638655462184
ANTIOQUIA,2014,2,20.382995951417
ANTIOQUIA,2014,3,20.228048780487807
ANTIOQUIA,2014,4,20.80194552529183
ANTIOQUIA,2014,5,20.641078838174273
ANTIOQUIA,2014,6,19.014919354838707
ANTIOQUIA,2014,7,19.7744939271255
ANTIOQUIA,2014,8,20.1456
ANTIOQUIA,2014,9,20.352301255230124
ANTIOQUIA,2014,10,20.152263374485596
ANTIOQUIA,2014,11,19.901209677419363
ANTIOQUIA,2014,12,20.434538152610447
ANTIOQUIA,2014,13,21.26514522821577
ANTIOQUIA,2014,14,21.18495934959349
ANTIOQUIA,2014,15,20.706349206349206
ANTIOQUIA,2015,1,22.695454545454538
ANTIOQUIA,2015,2,22.428957528957525
ANTIOQUIA,2015,3,22.38880308880309
ANTIOQUIA,2015,4,21.46291666666667
ANTIOQUIA,2015,5,21.9812749003984
ANTIOQUIA,2015,6,22.249420849420847
ANTIOQUIA,2015,7,21.938549618320614
ANTIOQUIA,2015,8,21.069583333333334
ANTIOQUIA,2015,9,22.009349593495937
ANTIOQUIA,2015,10,22.94389312977099
ANTIOQUIA,2015,11,22.60958333333334
ANTIOQUIA,2015,12,22.793675889328068
ANTIOQUIA,2015,13,21.923106060606067
ANTIOQUIA,2015,14,21.71717557251909
ANTIOQUIA,2015,15,21.95918367346938
ANTIOQUIA,2016,1,19.746534653465343
ANTIOQUIA,2016,2,18.26979166666667
ANTIOQUIA,2016,3,19.36414141414142
ANTIOQUIA,2016,4,18.513157894736846
ANTIOQUIA,2016,5,18.691623036649215
ANTIOQUIA,2016,6,18.795212765957444
ANTIOQUIA,2016,7,17.770555555555553
ANTIOQUIA,2016,8,18.729375
ANTIOQUIA,2016,9,18.79312169312169
ANTIOQUIA,2016,10,18.573157894736845
ANTIOQUIA,2016,11,17.32513089005235
ANTIOQUIA,2016,12,18.338383838383837
ANTIOQUIA,2016,13,17.908080808080808
ANTIOQUIA,2016,14,19.033823529411762
ANTIOQUIA,2016,15,19.474761904761902
ANTIOQUIA,2017,1,20.948068669527895
ANTIOQUIA,2017,2,21.230620155038757
ANTIOQUIA,2017,3,20.578867924528293
ANTIOQUIA,2017,4,19.997348484848484
ANTIOQUIA,2017,5,19.682545454545448
ANTIOQUIA,2017,6,20.401730103806234
ANTIOQUIA,2017,7,20.828231292517007
ANTIOQUIA,2017,8,19.41805555555555
ANTIOQUIA,2017,9,19.308135593220342
ANTIOQUIA,2017,10,19.8765306122449
ANTIOQUIA,2017,11,20.08907284768212
ANTIOQUIA,2017,12,19.492508143322475
ANTIOQUIA,2017,13,19.39838187702265
ANTIOQUIA,2017,14,18.626265822784806
ANTIOQUIA,2017,15,17.944089456869012
ANTIOQUIA,2018,1,19.975851791549303
ANTIOQUIA,2018,2,19.69687898748578
ANTIOQUIA,2018,3,20.185608461898084
ANTIOQUIA,2018,4,20.089391484848488
ANTIOQUIA,2018,5,19.75537400077161
ANTIOQUIA,2018,6,20.508558852268322
ANTIOQUIA,2018,7,20.27082433033971
ANTIOQUIA,2018,8,20.37138157635467
ANTIOQUIA,2018,9,18.106066729753515
ANTIOQUIA,2018,10,19.381581289537717
ANTIOQUIA,2018,11,20.0718863444227
ANTIOQUIA,2018,12,19.253249944685898
ANTIOQUIA,2018,13,19.631593539961013
ANTIOQUIA,2018,14,19.66906263971462
ANTIOQUIA,2018,15,19.456704554755593
ANTIOQUIA,2019,1,22.43611549649773
