,Departamento,Year,Month,Rain_month,Temp_month,Humi_month,Day_primary,Day_secondary,Rain_day_prim,Temp_day_prim,Humi_day_prim,Rain_day_sec,Temp_day_sec,Humi_day_sec,Rain_day_avg,Temp_day_avg,Humi_day_avg
2409,CAUCA,2022,6,2568.3999999999983,17.41130110896972,77.52819332300875,6,19,8.799999999999995,18.41470555555552,89.81870746268663,0.0,20.86129635416668,73.5913845263158,4.399999999999998,19.6380009548611,81.70504599450122
2410,CAUCA,2022,7,1879.3999999999983,18.36818317003743,74.58240877096014,7,18,9.2,18.282733593749995,86.94562379130434,0.0,19.30431092224232,81.18558262962964,4.6,18.79352225799616,84.06560321046699
2411,CAUCA,2022,8,1091.9999999999998,18.434800313154884,69.80086829795107,8,17,0.0,17.757411490066236,84.21318102649003,4.0,18.27760387152776,85.7361575704225,2.0,18.017507680796996,84.97466929845626
2412,CAUCA,2022,9,1778.8,18.44765436545973,66.28073263563262,9,16,9.5,,,41.100000000000016,19.00175123263888,82.6161018749999,25.300000000000008,19.00175123263888,82.6161018749999
2413,CAUCA,2022,10,3397.899999999996,17.799394730108247,76.02713767530246,10,15,98.90000000000003,17.087837957957944,93.03862478688522,1.0,18.710699513888887,80.6807525000001,49.95000000000002,17.899268735923414,86.85968864344267
2414,CAUCA,2022,11,150.10000000000005,18.000975919902295,81.72954757230929,11,14,27.600000000000023,17.17369052083333,85.89458755411252,2.5000000000000013,17.65539373263887,84.09831799283165,15.050000000000011,17.4145421267361,84.99645277347209
2415,CAUCA,2022,12,1838.899999999998,17.647153732623625,76.20114748134347,12,13,8.299999999999999,18.5218830729167,84.36970171029674,3.400000000000001,17.951121527777786,85.87552294425099,5.85,18.236502300347244,85.12261232727386
2416,CAUCA,2023,1,2774.4999999999986,18.086032958357105,74.7153925446069,1,24,5.9,16.782528819444455,88.10928562500004,85.50000000000003,18.988957285429148,64.429800233463,45.70000000000002,17.8857430524368,76.26954292923152
2417,CAUCA,2023,2,5047.299999999996,18.993670913023067,69.13819346361836,2,23,99.99999999999996,17.170054607594942,82.51076060209425,70.70000000000003,18.657027750511247,65.6712304166667,85.35,17.913541179053095,74.09099550938048
2418,CAUCA,2023,3,3321.7999999999956,18.30382736530142,78.91568506065589,3,22,23.4,18.00389911616161,75.2340341904762,50.40000000000003,17.663199747899153,74.2566884708249,36.90000000000001,17.83354943203038,74.74536133065055
2419,CAUCA,2023,4,450.9000000000001,19.010874341462277,82.49416646037028,4,21,1.2,18.578907855361603,73.4400538625592,108.39999999999992,16.637716673684217,74.2049994894895,54.79999999999996,17.608312264522908,73.82252667602435
2420,CAUCA,2023,5,788.3000000000002,20.396276382830173,77.27945440447832,5,20,100.79999999999993,17.980488776041692,77.74611679802953,166.6999999999997,17.192857142857136,62.05140186915888,133.74999999999983,17.586672959449416,69.8987593335942
2421,CAUCA,2023,6,694.0,20.935840479330437,63.47961397231841,6,19,54.500000000000085,18.367522682291668,78.73121517412933,173.19999999999973,17.135199570405717,74.27728060324827,113.84999999999991,17.75136112634869,76.50424788868881
2422,CAUCA,2023,7,926.2999999999998,20.88219234914703,64.48629252958602,7,18,68.3,18.203684869791665,80.54036126903559,125.99999999999996,17.737547149122815,77.08332323340476,97.14999999999998,17.97061600945724,78.81184225122017
2423,CAUCA,2023,8,1114.6999999999998,20.651136277283033,65.80934242856176,8,17,130.99999999999983,18.219074062500017,79.9339144444444,7.799999999999997,17.89147147783253,79.07328542134826,69.39999999999992,18.055272770166273,79.50359993289632
2424,CAUCA,2023,9,581.8000000000001,22.471879948015737,49.35564812085289,9,16,123.3999999999999,17.330338020833334,81.31986920212768,57.40000000000004,18.818990465686262,76.9216237793427,90.39999999999998,18.074664243259797,79.12074649073519
2425,CAUCA,2023,10,420.2,,,10,15,196.4999999999998,17.173330833333328,76.95242917763157,45.10000000000003,17.710552068965526,76.94949512820513,120.79999999999991,17.441941451149425,76.95096215291835
2426,CAUCA,2023,11,303.70000000000005,,,11,14,57.0000000000001,17.809522320261426,78.52665373801922,59.00000000000007,17.810095407407417,80.34772181818177,58.000000000000085,17.80980886383442,79.4371877781005
2427,CAUCA,2023,12,1.6,,,12,13,54.50000000000002,17.63064514778326,78.76653074941446,92.89999999999986,18.660372931034487,77.64717301624125,73.69999999999995,18.14550903940887,78.20685188282786
2428,CAUCA,2024,1,0.9,,,1,24,0.0,,,0.0,,,0.0,,
2429,CAUCA,2024,2,2.8000000000000003,,,2,23,,,,0.0,,,0.0,,
2430,CAUCA,2024,3,0.7000000000000001,,,3,22,0.0,,,0.0,,,0.0,,
2431,CAUCA,2024,4,1.9,,,4,21,0.4,,,,,,0.4,,
2432,CAUCA,2024,9,3.6,23.224458333333335,42.92761904761905,9,16,0.0,,,0.0,,,0.0,,
2433,CAUCA,2024,10,56.80000000000001,19.8624897410376,70.0713587231739,10,15,0.0,,,0.0,,,0.0,,
2434,CAUCA,2024,11,877.1999999999998,19.352642800168873,74.0332526352851,11,14,0.0,,,,,,0.0,,
