Departamento,year,month,agg_ValorObservado
ANTIOQUIA,2009,4,274.8999999999999
ANTIOQUIA,2009,5,651.0999999999998
ANTIOQUIA,2009,6,603.9000000000001
ANTIOQUIA,2009,7,449.59999999999985
ANTIOQUIA,2009,8,955.2999999999998
ANTIOQUIA,2009,9,654.3
ANTIOQUIA,2009,10,1348.4999999999995
ANTIOQUIA,2009,11,725.1
ANTIOQUIA,2009,12,567.4999999999999
ANTIOQUIA,2010,1,190.69999999999993
ANTIOQUIA,2010,2,380.29999999999984
ANTIOQUIA,2010,3,898.4
ANTIOQUIA,2010,4,1182.6999999999998
ANTIOQUIA,2010,5,1443.2999999999995
ANTIOQUIA,2010,6,1068.3
ANTIOQUIA,2010,7,1625.2000000000003
ANTIOQUIA,2010,8,1028.8000000000002
ANTIOQUIA,2010,9,1458.2000000000003
ANTIOQUIA,2010,10,811.0999999999999
ANTIOQUIA,2010,11,1544.8999999999999
ANTIOQUIA,2010,12,1099.3
ANTIOQUIA,2011,1,475.0
ANTIOQUIA,2011,2,732.2999999999996
ANTIOQUIA,2011,3,1426.7999999999997
ANTIOQUIA,2011,4,1981.700000000001
ANTIOQUIA,2011,5,880.0000000000002
ANTIOQUIA,2011,6,631.9000000000001
ANTIOQUIA,2011,7,1083.8999999999996
ANTIOQUIA,2011,8,994.6999999999997
ANTIOQUIA,2011,9,900.0000000000001
ANTIOQUIA,2011,10,1486.9
ANTIOQUIA,2011,11,1820.000000000001
ANTIOQUIA,2011,12,1802.2000000000007
ANTIOQUIA,2012,1,1205.4000000000003
ANTIOQUIA,2012,2,757.0
ANTIOQUIA,2012,3,963.4
ANTIOQUIA,2012,4,750.3000000000001
ANTIOQUIA,2012,5,713.4000000000001
ANTIOQUIA,2012,6,751.2999999999997
ANTIOQUIA,2012,7,514.3999999999999
ANTIOQUIA,2012,8,879.0999999999997
ANTIOQUIA,2012,9,595.4
ANTIOQUIA,2012,10,1566.4
ANTIOQUIA,2012,11,1440.4
ANTIOQUIA,2012,12,673.7000000000002
ANTIOQUIA,2013,1,284.6000000000001
ANTIOQUIA,2013,2,1290.6999999999996
ANTIOQUIA,2013,3,990.5000000000003
ANTIOQUIA,2013,4,993.0
ANTIOQUIA,2013,5,1541.0999999999992
ANTIOQUIA,2013,6,1699.5000000000007
ANTIOQUIA,2013,7,803.5999999999997
ANTIOQUIA,2013,8,1661.4999999999998
ANTIOQUIA,2013,9,1536.4
ANTIOQUIA,2013,10,1279.4000000000008
ANTIOQUIA,2013,11,1048.8999999999999
ANTIOQUIA,2013,12,1061.2
ANTIOQUIA,2014,1,846.8
ANTIOQUIA,2014,2,672.1999999999998
ANTIOQUIA,2014,3,186.0
ANTIOQUIA,2014,4,429.59999999999997
ANTIOQUIA,2014,5,763.6000000000001
ANTIOQUIA,2014,6,808.6799999999997
ANTIOQUIA,2014,7,674.9699999999998
ANTIOQUIA,2014,8,561.5600000000001
ANTIOQUIA,2014,9,565.36
ANTIOQUIA,2014,10,663.8399999999997
ANTIOQUIA,2014,11,729.7699999999999
ANTIOQUIA,2014,12,477.26000000000005
ANTIOQUIA,2015,1,177.40999999999997
ANTIOQUIA,2015,2,219.52999999999997
ANTIOQUIA,2015,3,164.21999999999997
ANTIOQUIA,2015,4,411.15999999999997
ANTIOQUIA,2015,5,712.2999999999996
ANTIOQUIA,2015,6,692.0000000000001
ANTIOQUIA,2015,7,1076.4699999999998
ANTIOQUIA,2015,8,739.41
ANTIOQUIA,2015,9,862.1399999999996
ANTIOQUIA,2015,10,1431.7400000000002
ANTIOQUIA,2015,11,1207.4099999999996
ANTIOQUIA,2015,12,450.8100000000001
ANTIOQUIA,2016,1,304.4799999999999
ANTIOQUIA,2016,2,478.84999999999997
ANTIOQUIA,2016,3,531.0
ANTIOQUIA,2016,4,1386.0600000000004
ANTIOQUIA,2016,5,1442.2800000000007
ANTIOQUIA,2016,6,1145.5999999999997
ANTIOQUIA,2016,7,1158.4500000000003
ANTIOQUIA,2016,8,727.4999999999998
ANTIOQUIA,2016,9,1068.7
ANTIOQUIA,2016,10,769.3000000000002
ANTIOQUIA,2016,11,801.4000000000002
ANTIOQUIA,2016,12,406.6000000000002
ANTIOQUIA,2017,1,447.7759999999999
ANTIOQUIA,2017,2,490.21299999999985
ANTIOQUIA,2017,3,3490.8040000000015
ANTIOQUIA,2017,4,2649.5960000000005
ANTIOQUIA,2017,5,4485.386000000003
ANTIOQUIA,2017,6,4317.921000000003
ANTIOQUIA,2017,7,1529.193
ANTIOQUIA,2017,8,3971.366000000002
ANTIOQUIA,2017,9,5817.903000000004
ANTIOQUIA,2017,10,4436.256000000002
ANTIOQUIA,2017,11,5755.4050000000025
ANTIOQUIA,2017,12,3306.192000000001
ANTIOQUIA,2018,1,5425.417000000001
ANTIOQUIA,2018,2,7999.725
ANTIOQUIA,2018,3,2542.583
ANTIOQUIA,2018,4,4347.0660000000025
ANTIOQUIA,2018,5,5343.236000000004
ANTIOQUIA,2018,6,3033.906000000002
ANTIOQUIA,2018,7,2747.551000000001
ANTIOQUIA,2018,8,3052.087000000002
ANTIOQUIA,2018,9,5139.539000000006
ANTIOQUIA,2018,10,7486.565999999999
ANTIOQUIA,2018,11,12971.361999999997
ANTIOQUIA,2018,12,10131.337000000005
ANTIOQUIA,2019,1,3943.442
ANTIOQUIA,2019,2,1813.7269999999994
ANTIOQUIA,2019,3,5655.342
ANTIOQUIA,2019,4,8882.037000000008
ANTIOQUIA,2019,5,12056.300000000007
ANTIOQUIA,2019,6,5873.800000000001
ANTIOQUIA,2019,7,12273.000000000002
ANTIOQUIA,2019,8,16980.633
