Version,Variable,Month,Departamento,n,rho,p_raw,q_FDR,sig_FDR
prim,RAIN,3,LA GUAJIRA,20,0.2400926702354924,0.307916427674281,0.5136696661865152,False
prim,RAIN,3,MAGDALENA,20,0.41527289512464227,0.06863474389347468,0.18302598371593248,False
prim,RAIN,3,META,19,0.016886341073527007,0.9452974553344708,0.9692068920916377,False
prim,RAIN,3,NARINO,20,0.09330326192837647,0.6956103898115948,0.9274805197487931,False
prim,RAIN,3,NORTE DE SANTANDER,20,0.399248125664272,0.08117785193071722,0.18554937584163936,False
prim,RAIN,3,PUTUMAYO,19,0.24062039740583355,0.32104354136657204,0.5136696661865152,False
prim,RAIN,3,QUINDIO,20,0.009225811007318223,0.9692068920916377,0.9692068920916377,False
prim,RAIN,3,RISARALDA,25,-0.25271746747253243,0.22291986703170938,0.44583973406341876,False
prim,RAIN,3,SAN ANDRES PROVIDENCIA,13,0.3301241087284377,0.2706361115625358,0.4951141105285518,False
prim,RAIN,3,SANTANDER,21,0.6371916960976167,0.0018920942018905798,0.015353031243437999,True
prim,RAIN,3,SUCRE,21,0.7403204311671985,0.00012439895696111892,0.0019903833113779027,True
prim,RAIN,3,TOLIMA,21,0.33907114487232726,0.13267671583534613,0.2830436604487384,False
prim,RAIN,3,VALLE DEL CAUCA,23,0.4524757465302377,0.030167943413282577,0.11275038088697754,False
prim,RAIN,3,VAUPES,6,0.43482827673933633,0.3888653001289578,0.5485450148573755,False
prim,RAIN,3,VICHADA,3,,,,False
prim,RAIN,4,AMAZONAS,16,0.42177543162335984,0.10368874319806984,0.20737748639613968,False
prim,RAIN,4,ANTIOQUIA,20,0.3203007518796992,0.168577043064626,0.27160545172107936,False
prim,RAIN,4,ARAUCA,9,0.847579379526013,0.003908548083225188,0.017867648380458005,True
prim,RAIN,4,ATLANTICO,18,0.34541729930633386,0.1603399983868543,0.27160545172107936,False
prim,RAIN,4,BOGOTA,20,0.39133474262691376,0.08796414070058328,0.18765683349457768,False
prim,RAIN,4,BOLIVAR,19,0.15479322330102258,0.5268946440597704,0.6021653074968805,False
prim,RAIN,4,BOYACA,22,0.4358397358693198,0.042600095726070854,0.11890039257508701,False
prim,RAIN,4,CALDAS,18,-0.0051867666430413465,0.983703736182729,1.0,False
prim,RAIN,4,CAQUETA,19,0.2341121784997809,0.3347003122215503,0.446267082962067,False
prim,RAIN,4,CASANARE,19,0.09956600973410992,0.6850771171278267,0.7307489249363485,False
prim,RAIN,4,CAUCA,19,0.4655049539536486,0.04458764721565763,0.11890039257508701,False
prim,RAIN,4,CESAR,20,0.25292937609861654,0.2819638467918858,0.3922975259713194,False
prim,RAIN,4,CHOCO,19,0.7491228070175439,0.00022320662435049423,0.0017856529948039538,True
prim,RAIN,4,CORDOBA,20,0.7431097329819527,0.00017403671923121972,0.0017856529948039538,True
prim,RAIN,4,CUNDINAMARCA,21,0.5220779220779221,0.01519575449250578,0.054029349306687215,False
prim,RAIN,4,GUAINIA,14,0.7671092748535867,0.0013652420547771897,0.007281290958811679,True
prim,RAIN,4,GUAVIARE,4,0.0,1.0,1.0,False
prim,RAIN,4,HUILA,20,0.7672057706904292,7.898794727492623e-05,0.0017856529948039538,True
prim,RAIN,4,LA GUAJIRA,19,0.19530533921594576,0.4229681174711587,0.5012955466324844,False
prim,RAIN,4,MAGDALENA,20,0.4050802999620732,0.07643057773919959,0.17469846340388479,False
prim,RAIN,4,META,19,-0.761984283802333,0.00014971158975981405,0.0017856529948039538,True
prim,RAIN,4,NARINO,19,0.43367328456974036,0.06359491586617283,0.15654133136288698,False
prim,RAIN,4,NORTE DE SANTANDER,19,0.375235932464538,0.11340794301985543,0.21347377509619847,False
prim,RAIN,4,PUTUMAYO,18,0.10783898101399615,0.6701647963081314,0.7307489249363485,False
prim,RAIN,4,QUINDIO,19,0.2791284832340379,0.2471590871510846,0.3766233708968908,False
prim,RAIN,4,RISARALDA,24,-0.17200528202589283,0.42158002097707425,0.5012955466324844,False
prim,RAIN,4,SAN ANDRES PROVIDENCIA,12,0.4238185133446995,0.1697534073256746,0.27160545172107936,False
prim,RAIN,4,SANTANDER,20,0.474865859232736,0.03436626198390282,0.10997203834848904,False
prim,RAIN,4,SUCRE,20,0.5656589814462757,0.009336782454727395,0.03734712981890958,True
prim,RAIN,4,TOLIMA,20,0.2120300751879699,0.36948599387790193,0.4729420721637145,False
prim,RAIN,4,VALLE DEL CAUCA,22,0.6569179495180874,0.0008960315630340049,0.005734602003417631,True
prim,RAIN,4,VAUPES,6,-0.5408987230262506,0.26777767151474974,0.38949479493054506,False
prim,RAIN,4,VICHADA,3,,,,False
prim,RAIN,5,AMAZONAS,17,-0.1568905885560456,0.5476086175932731,0.6739798370378746,False
prim,RAIN,5,ANTIOQUIA,20,0.445783638073254,0.048843585846169914,0.1302495622564531,False
prim,RAIN,5,ARAUCA,9,0.49159604012508756,0.17892749146833994,0.3578549829366799,False
prim,RAIN,5,ATLANTICO,17,0.2653564655963556,0.303310642944764,0.5392189207906916,False
prim,RAIN,5,BOGOTA,20,0.6116146661201989,0.004162444295430352,0.02663964349075425,True
prim,RAIN,5,BOLIVAR,19,0.006382696865167643,0.9793109049326909,0.9793109049326909,False
prim,RAIN,5,BOYACA,22,0.5557752269068509,0.007240482896867603,0.03309935038568047,True
prim,RAIN,5,CALDAS,19,-0.2937565194606602,0.22220607750413748,0.4182702635372,False
prim,RAIN,5,CAQUETA,19,0.22972171321400553,0.34410214900017555,0.5654929309118758,False
prim,RAIN,5,CASANARE,19,-0.41668304109563115,0.07594522697934102,0.18694209717991633,False
prim,RAIN,5,CAUCA,18,0.580844926703763,0.01148015228958513,0.04081831925185824,True
prim,RAIN,5,CESAR,20,0.02996084601609752,0.900215579842188,0.9602299518316673,False
prim,RAIN,5,CHOCO,19,0.7210526315789473,0.0004947294682852213,0.007915671492563541,True
prim,RAIN,5,CORDOBA,20,0.7567505188574138,0.00011250040602984487,0.003600012992955036,True
prim,RAIN,5,CUNDINAMARCA,21,0.6727272727272726,0.0008333435326227538,0.008888997681309374,True
prim,RAIN,5,GUAINIA,15,0.021740414759980006,0.9387001123581388,0.9689807611438852,False
prim,RAIN,5,GUAVIARE,5,0.19999999999999998,0.747060078104662,0.8854045370129328,False
prim,RAIN,5,HUILA,20,0.48815347566479267,0.02898640867125395,0.08432409795273876,False
prim,RAIN,5,LA GUAJIRA,20,-0.15239347241684095,0.5212597205130001,0.6672124422566401,False
prim,RAIN,5,MAGDALENA,20,0.3944670358776061,0.08522979338660716,0.19481095631224493,False
prim,RAIN,5,META,18,-0.3335547120989321,0.17615838311468157,0.3578549829366799,False
prim,RAIN,5,NARINO,20,0.5172443872789029,0.01951405278704699,0.06244496891855037,False
prim,RAIN,5,NORTE DE SANTANDER,19,-0.19646787029982885,0.42015789544580817,0.6104198281975886,False
prim,RAIN,5,PUTUMAYO,17,-0.23814928373053457,0.35733039134943945,0.5654929309118758,False
prim,RAIN,5,QUINDIO,20,0.594168529418166,0.005735412456533168,0.03058886643484356,True
prim,RAIN,5,RISARALDA,24,-0.1910800357565637,0.3711047359109185,0.5654929309118758,False
prim,RAIN,5,SAN ANDRES PROVIDENCIA,13,0.06327378750628389,0.837295929789188,0.9324571608139184,False
prim,RAIN,5,SANTANDER,20,0.1744069396993671,0.46208689311100726,0.616115857481343,False
prim,RAIN,5,SUCRE,20,0.6713196279218088,0.0011920608393271438,0.00953648671461715,True
prim,RAIN,5,TOLIMA,20,0.04668679993334755,0.8450393019876136,0.9324571608139184,False
prim,RAIN,5,VALLE DEL CAUCA,22,0.5442175363950913,0.008833389126759182,0.03533355650703673,True
prim,RAIN,5,VAUPES,6,-0.3946648814672956,0.43873925151701676,0.6104198281975886,False
prim,RAIN,5,VICHADA,3,,,,False
