Departamento,date,sum_ValorObservado
<nil>,2014-08-01,81.29166666666667
<nil>,2014-08-02,75.54166666666667
<nil>,2014-08-03,77.41666666666667
<nil>,2014-08-04,84.25
<nil>,2014-08-05,76.91666666666667
<nil>,2014-08-06,89.45833333333333
<nil>,2014-08-07,81.95833333333333
<nil>,2014-08-08,80.66666666666667
<nil>,2014-08-09,83.125
<nil>,2014-08-10,84.5
<nil>,2014-08-11,83.41666666666667
<nil>,2014-08-12,82.83333333333333
<nil>,2014-08-13,88.41666666666667
<nil>,2014-08-14,91.66666666666667
<nil>,2014-08-15,83.75
<nil>,2014-08-16,60.791666666666664
<nil>,2014-08-17,67.91666666666667
<nil>,2014-08-18,66.75
<nil>,2014-08-19,72.9047619047619
<nil>,2017-02-09,2.0
<nil>,2017-02-10,0.2857142857142857
<nil>,2017-02-14,0.0
<nil>,2017-03-22,11.0
<nil>,2017-03-23,22.26829268292683
<nil>,2017-03-24,29.0
<nil>,2017-03-27,58.421052631578945
<nil>,2017-04-17,41.00974025974026
<nil>,2017-04-18,48.04857954545455
<nil>,2017-04-19,46.603070175438596
<nil>,2017-05-10,0.0
<nil>,2017-06-15,100.0
<nil>,2017-08-19,93.0
<nil>,2017-08-20,90.0
<nil>,2017-08-21,83.82352941176471
<nil>,2017-08-27,95.71428571428571
<nil>,2017-08-28,90.13333333333334
<nil>,2017-09-26,3.2222222222222223
<nil>,2017-10-03,1.5
<nil>,2018-02-01,41.779166666666676
<nil>,2018-02-02,41.31830065359477
<nil>,2018-02-03,47.51917808219179
<nil>,2018-02-04,46.74285714285715
<nil>,2018-02-05,40.83333333333334
<nil>,2018-02-08,37.39374999999999
<nil>,2018-02-10,27.862068965517242
<nil>,2018-02-11,29.094594594594586
<nil>,2018-02-12,36.93793103448276
<nil>,2018-02-13,36.87215189873418
AMAZONAS,2007-05-18,58.625
AMAZONAS,2007-05-19,58.09090909090909
AMAZONAS,2007-05-26,59.416666666666664
AMAZONAS,2007-05-27,61.041666666666664
AMAZONAS,2007-05-28,59.35
AMAZONAS,2007-05-29,60.25
AMAZONAS,2007-05-30,56.2
AMAZONAS,2007-05-31,57.17391304347826
AMAZONAS,2007-06-01,60.45454545454545
AMAZONAS,2007-06-02,60.25
AMAZONAS,2007-06-03,62.416666666666664
AMAZONAS,2007-06-04,62.07692307692308
AMAZONAS,2007-06-16,84.5
AMAZONAS,2007-06-17,86.79166666666667
AMAZONAS,2007-06-18,84.25
AMAZONAS,2007-06-19,89.27777777777777
AMAZONAS,2007-06-20,76.3125
AMAZONAS,2007-06-21,90.10526315789474
AMAZONAS,2007-06-22,91.23809523809524
AMAZONAS,2007-06-23,91.75
AMAZONAS,2007-06-24,86.20833333333333
AMAZONAS,2007-06-25,88.0
AMAZONAS,2007-06-26,83.63636363636364
AMAZONAS,2007-06-27,81.11111111111111
AMAZONAS,2007-06-28,79.38095238095238
AMAZONAS,2007-06-29,72.25
AMAZONAS,2007-06-30,80.45
AMAZONAS,2007-07-01,78.93333333333334
AMAZONAS,2007-07-02,84.08333333333333
AMAZONAS,2007-07-03,79.4375
AMAZONAS,2007-07-04,87.88235294117646
AMAZONAS,2007-07-05,83.73333333333333
AMAZONAS,2007-07-06,81.5
AMAZONAS,2007-07-07,83.27777777777777
AMAZONAS,2007-07-08,90.26666666666667
AMAZONAS,2007-07-09,83.0
AMAZONAS,2007-07-10,83.95238095238095
AMAZONAS,2007-07-11,88.33333333333333
AMAZONAS,2007-07-12,84.77777777777777
AMAZONAS,2007-07-13,87.8695652173913
AMAZONAS,2007-07-14,87.17391304347827
AMAZONAS,2007-07-15,92.14285714285714
AMAZONAS,2007-07-16,84.76470588235294
AMAZONAS,2007-07-17,82.35
AMAZONAS,2007-07-18,84.34782608695652
AMAZONAS,2007-07-19,88.88888888888889
AMAZONAS,2007-07-20,81.05882352941177
AMAZONAS,2007-07-21,95.5
AMAZONAS,2007-08-14,87.66666666666667
AMAZONAS,2007-08-15,89.25
AMAZONAS,2007-08-16,90.0625
AMAZONAS,2007-08-17,80.66666666666667
AMAZONAS,2007-08-18,81.14285714285714
AMAZONAS,2007-08-19,84.0
AMAZONAS,2007-08-20,83.08333333333333
AMAZONAS,2007-08-21,75.52941176470588
AMAZONAS,2007-08-22,72.42857142857143
AMAZONAS,2007-08-23,87.63157894736842
AMAZONAS,2007-08-24,82.95652173913044
AMAZONAS,2007-08-25,83.375
AMAZONAS,2007-08-26,79.29166666666667
AMAZONAS,2007-08-27,78.875
AMAZONAS,2007-08-28,83.94736842105263
AMAZONAS,2007-08-29,90.6
AMAZONAS,2007-09-03,84.75
AMAZONAS,2007-09-04,84.17647058823529
AMAZONAS,2007-09-05,85.22222222222223
AMAZONAS,2007-09-06,86.0
AMAZONAS,2007-09-07,77.9
AMAZONAS,2007-09-08,81.76923076923077
AMAZONAS,2007-09-09,78.0
AMAZONAS,2007-09-10,79.14285714285714
AMAZONAS,2007-09-11,77.5
AMAZONAS,2007-09-12,84.16666666666667
AMAZONAS,2007-09-13,81.875
AMAZONAS,2007-09-14,91.54545454545455
AMAZONAS,2007-09-17,88.33333333333333
AMAZONAS,2007-09-19,93.33333333333333
AMAZONAS,2007-09-20,78.3
AMAZONAS,2007-09-21,92.66666666666667
AMAZONAS,2007-09-22,79.57142857142857
AMAZONAS,2007-09-23,87.0
AMAZONAS,2007-09-25,86.0
AMAZONAS,2007-09-26,74.2
AMAZONAS,2008-04-09,95.8
AMAZONAS,2008-04-10,93.0909090909091
AMAZONAS,2008-04-11,85.14285714285714
AMAZONAS,2008-04-12,86.21739130434783
AMAZONAS,2008-04-13,83.88888888888889
AMAZONAS,2008-04-14,85.86666666666666
AMAZONAS,2008-04-15,85.44444444444444
AMAZONAS,2008-04-16,94.42105263157895
AMAZONAS,2008-04-17,85.69565217391305
AMAZONAS,2008-04-18,87.89473684210526
AMAZONAS,2008-04-19,88.4
AMAZONAS,2008-04-20,93.81818181818181
AMAZONAS,2008-04-21,90.66666666666667
AMAZONAS,2008-04-22,90.53333333333333
AMAZONAS,2008-04-23,86.9090909090909
AMAZONAS,2008-04-24,83.58823529411765
AMAZONAS,2008-04-25,88.65217391304348
AMAZONAS,2008-04-26,92.25
AMAZONAS,2008-04-27,89.04166666666667
AMAZONAS,2008-04-28,91.95833333333333
AMAZONAS,2008-04-29,86.75
AMAZONAS,2008-04-30,87.08333333333333
AMAZONAS,2008-05-01,95.29166666666667
AMAZONAS,2008-05-02,89.04166666666667
AMAZONAS,2008-05-03,88.33333333333333
AMAZONAS,2008-05-04,83.75
AMAZONAS,2008-05-05,89.27272727272727
AMAZONAS,2008-05-06,74.3125
AMAZONAS,2008-05-07,82.625
AMAZONAS,2008-05-08,86.41666666666667
AMAZONAS,2008-05-09,96.15
AMAZONAS,2008-05-10,93.25
AMAZONAS,2008-05-11,88.29166666666667
AMAZONAS,2008-05-12,97.04166666666667
AMAZONAS,2008-05-13,94.38095238095238
AMAZONAS,2008-05-14,90.8695652173913
AMAZONAS,2008-05-15,84.16666666666667
AMAZONAS,2008-05-16,95.125
AMAZONAS,2008-05-17,90.75
AMAZONAS,2008-05-18,90.625
AMAZONAS,2008-05-19,91.16666666666667
AMAZONAS,2008-05-20,92.16666666666667
AMAZONAS,2008-05-21,88.5
AMAZONAS,2008-05-22,87.91666666666667
AMAZONAS,2008-05-23,87.0
AMAZONAS,2008-05-24,91.95833333333333
AMAZONAS,2008-05-25,92.375
AMAZONAS,2008-05-26,92.625
AMAZONAS,2008-05-27,93.41666666666667
