Departamento,year,day,agg_ValorObservado
ANTIOQUIA,2007,12,2.1
ANTIOQUIA,2007,13,0.0
ANTIOQUIA,2007,14,0.2
ANTIOQUIA,2007,15,15.6
ANTIOQUIA,2008,1,0.1
ANTIOQUIA,2008,2,0.6
ANTIOQUIA,2008,3,6.4999999999999964
ANTIOQUIA,2008,4,4.7
ANTIOQUIA,2008,5,0.0
ANTIOQUIA,2008,6,2.4000000000000004
ANTIOQUIA,2008,7,40.80000000000001
ANTIOQUIA,2008,8,26.200000000000014
ANTIOQUIA,2008,9,58.500000000000014
ANTIOQUIA,2008,10,0.4
ANTIOQUIA,2008,11,1.2
ANTIOQUIA,2008,12,0.1
ANTIOQUIA,2008,13,0.30000000000000004
ANTIOQUIA,2008,14,2.4
ANTIOQUIA,2008,15,0.0
ANTIOQUIA,2009,1,9.099999999999998
ANTIOQUIA,2009,2,5.800000000000001
ANTIOQUIA,2009,3,48.50000000000001
ANTIOQUIA,2009,4,46.50000000000001
ANTIOQUIA,2009,5,45.8
ANTIOQUIA,2009,6,16.49999999999999
ANTIOQUIA,2009,7,5.2
ANTIOQUIA,2009,8,11.799999999999997
ANTIOQUIA,2009,9,26.10000000000001
ANTIOQUIA,2009,10,21.400000000000002
ANTIOQUIA,2009,11,3.9000000000000004
ANTIOQUIA,2009,12,10.499999999999996
ANTIOQUIA,2009,13,44.500000000000036
ANTIOQUIA,2009,14,11.899999999999999
ANTIOQUIA,2009,15,22.099999999999998
ANTIOQUIA,2010,1,0.1
ANTIOQUIA,2010,2,0.1
ANTIOQUIA,2010,3,0.1
ANTIOQUIA,2010,4,0.1
ANTIOQUIA,2010,5,0.1
ANTIOQUIA,2010,6,0.1
ANTIOQUIA,2010,7,0.0
ANTIOQUIA,2010,8,0.4
ANTIOQUIA,2010,9,0.0
ANTIOQUIA,2010,10,0.0
ANTIOQUIA,2010,11,0.5
ANTIOQUIA,2010,12,0.0
ANTIOQUIA,2010,13,0.8
ANTIOQUIA,2010,14,0.1
ANTIOQUIA,2010,15,0.1
ANTIOQUIA,2011,1,16.7
ANTIOQUIA,2011,2,0.2
ANTIOQUIA,2011,3,53.000000000000014
ANTIOQUIA,2011,4,97.79999999999995
ANTIOQUIA,2011,5,1.1
ANTIOQUIA,2011,6,0.1
ANTIOQUIA,2011,7,79.4
ANTIOQUIA,2011,8,8.999999999999996
ANTIOQUIA,2011,9,19.40000000000001
ANTIOQUIA,2011,10,12.299999999999997
ANTIOQUIA,2011,11,4.300000000000001
ANTIOQUIA,2011,12,11.999999999999996
ANTIOQUIA,2011,13,4.599999999999999
ANTIOQUIA,2011,14,4.5
ANTIOQUIA,2011,15,4.499999999999999
ANTIOQUIA,2012,1,3.5000000000000004
ANTIOQUIA,2012,2,64.10000000000002
ANTIOQUIA,2012,3,168.79999999999993
ANTIOQUIA,2012,4,37.10000000000001
ANTIOQUIA,2012,5,70.8
ANTIOQUIA,2012,6,59.000000000000014
ANTIOQUIA,2012,7,23.500000000000007
ANTIOQUIA,2012,8,1.0999999999999999
ANTIOQUIA,2012,9,9.499999999999998
ANTIOQUIA,2012,10,43.000000000000014
ANTIOQUIA,2012,11,17.5
ANTIOQUIA,2012,12,15.299999999999997
ANTIOQUIA,2012,13,4.500000000000001
ANTIOQUIA,2012,14,66.9
ANTIOQUIA,2012,15,51.90000000000001
ANTIOQUIA,2013,1,32.0
ANTIOQUIA,2013,2,1.0
ANTIOQUIA,2013,3,15.4
ANTIOQUIA,2013,4,0.30000000000000004
ANTIOQUIA,2013,5,2.5
ANTIOQUIA,2013,6,0.30000000000000004
ANTIOQUIA,2013,7,0.1
ANTIOQUIA,2013,8,0.2
ANTIOQUIA,2013,9,0.1
ANTIOQUIA,2013,10,3.3000000000000003
ANTIOQUIA,2013,11,0.1
ANTIOQUIA,2013,12,0.30000000000000004
ANTIOQUIA,2013,13,0.4
ANTIOQUIA,2013,14,18.400000000000002
ANTIOQUIA,2013,15,1.2
ANTIOQUIA,2014,1,48.600000000000016
ANTIOQUIA,2014,2,92.3
ANTIOQUIA,2014,3,6.999999999999999
ANTIOQUIA,2014,4,22.000000000000004
ANTIOQUIA,2014,5,19.800000000000008
ANTIOQUIA,2014,6,39.500000000000014
ANTIOQUIA,2014,7,142.7
ANTIOQUIA,2014,8,14.300000000000002
ANTIOQUIA,2014,9,35.599999999999994
ANTIOQUIA,2014,10,66.19999999999999
ANTIOQUIA,2014,11,10.7
ANTIOQUIA,2014,12,27.70000000000001
ANTIOQUIA,2014,13,0.0
ANTIOQUIA,2014,14,0.5
ANTIOQUIA,2014,15,2.2
ANTIOQUIA,2015,1,0.15000000000000002
ANTIOQUIA,2015,2,2.4000000000000004
ANTIOQUIA,2015,3,0.23
ANTIOQUIA,2015,4,0.29000000000000004
ANTIOQUIA,2015,5,0.02
ANTIOQUIA,2015,6,0.16
ANTIOQUIA,2015,7,0.37
ANTIOQUIA,2015,8,0.13
ANTIOQUIA,2015,9,0.48000000000000004
