Variable,Month,Baseline,Model,RMSE_model,RMSE_baseline,Skill,R2,CI_low,CI_high,DM_stat,DM_p
RAIN,6,Baseline,Ridge,92009459.26298225,102859056.95038036,0.10548023683157037,0.09955067160361852,-1.2614084573901179,0.6187254898730636,-0.1858452083945596,0.8546444216423734
RAIN,6,Baseline,RF,51972235.79945763,102859056.95038036,0.4947237769783437,0.4913744174159257,,,,
RAIN,6,Baseline,HGB,90473574.73815227,102859056.95038036,0.12041216961772161,0.11458158472880808,,,,
RAIN,6,DeptClim,Ridge,92009459.26298225,101412341.5416661,0.09271930946215856,0.09955067160361852,-1.2219936984168795,0.7525627020804563,-0.16252072722758742,0.8727063838947413
RAIN,6,DeptClim,RF,51972235.79945763,101412341.5416661,0.4875156710773273,0.4913744174159257,,,,
RAIN,6,DeptClim,HGB,90473574.73815227,101412341.5416661,0.10786425633431962,0.11458158472880808,,,,
RAIN,6,Persist,Ridge,92009459.26298225,26417040.61563216,-2.4829586175726313,0.09955067160361852,-11.311673718916804,-1.4448678513610729,1.507242965138226,0.14909835283408301
RAIN,6,Persist,RF,51972235.79945763,26417040.61563216,-0.9673753981626276,0.4913744174159257,,,,
RAIN,6,Persist,HGB,90473574.73815227,26417040.61563216,-2.4248187014791864,0.11458158472880808,,,,
RAIN,7,Baseline,Ridge,28509634.423254795,214178216.35052592,0.8668882629193453,0.8661817788396682,0.07382602650479693,0.8861521252471621,-1.4657504685611935,0.1599674754679976
RAIN,7,Baseline,RF,100715992.81051002,214178216.35052592,0.5297561324085482,0.5272603359197844,,,,
RAIN,7,Baseline,HGB,201461849.6501047,214178216.35052592,0.059372829399277016,0.054380496375041276,,,,
RAIN,7,DeptClim,Ridge,28509634.423254795,212828822.3343533,0.8660442974285397,0.8661817788396682,0.7388163617668401,0.8831436213853125,-1.6649458450798431,0.11323295267712274
RAIN,7,DeptClim,RF,100715992.81051002,212828822.3343533,0.5267746553035679,0.5272603359197844,,,,
RAIN,7,DeptClim,HGB,201461849.6501047,212828822.3343533,0.053408991129928474,0.054380496375041276,,,,
RAIN,7,Persist,Ridge,28509634.423254795,36748608.72563255,0.22419826458983683,0.8661817788396682,-6.483903263110088,0.5399991989071647,-0.3730638817308822,0.7134579026861818
RAIN,7,Persist,RF,100715992.81051002,36748608.72563255,-1.7406749888808593,0.5272603359197844,,,,
RAIN,7,Persist,HGB,201461849.6501047,36748608.72563255,-4.482162635168904,0.054380496375041276,,,,
RAIN,8,Baseline,Ridge,7978586.723284877,243243027.72278222,0.9671991144084184,0.9670300941838018,0.2889508839872785,0.982436191848324,-1.3443194585348834,0.1955436256762495
RAIN,8,Baseline,RF,129259268.26404308,243243027.72278222,0.4686003151903021,0.4658620569857487,,,,
RAIN,8,Baseline,HGB,221669858.34764147,243243027.72278222,0.08868977490169683,0.08399386940513542,,,,
RAIN,8,DeptClim,Ridge,7978586.723284877,242435589.4988714,0.9670898701804587,0.9670300941838018,0.7873199322348993,0.9819819101198666,-1.4631494774162648,0.160669947649819
RAIN,8,DeptClim,RF,129259268.26404308,242435589.4988714,0.46683047430771374,0.4658620569857487,,,,
RAIN,8,DeptClim,HGB,221669858.34764147,242435589.4988714,0.08565463178963906,0.08399386940513542,,,,
RAIN,8,Persist,Ridge,7978586.723284877,8797059.935438387,0.09303940386450515,0.9670300941838018,-6.582249287175572,0.4987717297888567,-0.17192360781640886,0.8654157370191191
RAIN,8,Persist,RF,129259268.26404308,8797059.935438387,-13.693462271790429,0.4658620569857487,,,,
RAIN,8,Persist,HGB,221669858.34764147,8797059.935438387,-24.198175296573663,0.08399386940513542,,,,
RAIN,9,Baseline,Ridge,106730606.08738187,385545025.15269125,0.7231695414948947,0.721591356065006,0.227505757900832,0.7750587375674752,-1.0657288763292048,0.30063341159770585
RAIN,9,Baseline,RF,278687218.31551737,385545025.15269125,0.2771603830054711,0.27303953966385575,,,,
RAIN,9,Baseline,HGB,366880107.90371346,385545025.15269125,0.04841177043222311,0.04298685191976226,,,,
RAIN,9,DeptClim,Ridge,106730606.08738187,391057476.3532589,0.7270718179775508,0.721591356065006,0.39155303009213405,0.8795964133849072,-1.145591032876093,0.2669676034440691
RAIN,9,DeptClim,RF,278687218.31551737,391057476.3532589,0.287349724356715,0.27303953966385575,,,,
RAIN,9,DeptClim,HGB,366880107.90371346,391057476.3532589,0.0618256136540527,0.04298685191976226,,,,
RAIN,9,Persist,Ridge,106730606.08738187,35277795.71138649,-2.025432965272624,0.721591356065006,-6.85602250471226,-0.38399812428967545,1.4363665219394852,0.16805139636201427
RAIN,9,Persist,RF,278687218.31551737,35277795.71138649,-6.8997911489568065,0.27303953966385575,,,,
RAIN,9,Persist,HGB,366880107.90371346,35277795.71138649,-9.399745803428894,0.04298685191976226,,,,
RAIN,10,Baseline,Ridge,135926315.61341494,119654266.52252492,-0.1359922179442452,-0.1426783556805875,-7.039692851208496,0.49497416234355024,0.34133483854487084,0.7368037589926293
RAIN,10,Baseline,RF,118390649.30752106,119654266.52252492,0.010560569645596263,0.00473700130717114,,,,
