,Departamento,Year,Month/Day,Rain_day,Rain_month,Temp_day,Temp_month,Humi_day,Humi_month
199,ANTIOQUIA,2006,7,7.399999999999999,106.40000000000003,16.6890625,19.15319665400433,76.18181818181819,76.53872585798455
200,ARAUCA,2006,7,0.0,0.0,,,,
201,ATLANTICO,2006,7,0.0,0.0,,,,
202,BOGOTA,2006,7,5.199999999999999,19.6,12.9375,13.705892759373288,,
203,BOLIVAR,2006,7,0.0,0.0,,28.21854471555015,,79.66148346822261
204,BOYACA,2006,7,2.4000000000000004,77.6,16.52083333333334,15.27055585328569,81.84242424242424,81.5064852866655
205,CALDAS,2006,7,0.0,0.0,14.679166666666664,6.869707568373115,95.93617021276596,86.76235921425472
206,CAQUETA,2006,7,0.0,0.0,24.825000000000003,23.69918113590434,90.54166666666669,87.70120384410943
207,CASANARE,2006,7,0.0,0.0,25.95,25.39383756730624,76.33333333333333,87.12538365016626
208,CAUCA,2006,7,35.800000000000004,7.3999999999999995,19.671755725190835,22.75933772788492,87.61194029850746,80.9844840916898
209,CESAR,2006,7,0.0,125.29999999999998,26.27551020408164,26.76568102731932,74.3125,74.2894652070606
210,CHOCO,2006,7,0.0,1275.1999999999998,24.57083333333333,27.381941563441647,,
211,CORDOBA,2006,7,1.0,241.90000000000006,25.942696629213483,28.379914113237355,,
212,CUNDINAMARCA,2006,7,60.50000000000001,748.2000000000002,15.117647058823527,15.293663755727932,,
213,GUAINIA,2006,7,0.0,0.0,24.058333333333334,25.5489661114414,,
214,GUAVIARE,2006,7,0.0,0.0,46.8,,,
215,HUILA,2006,7,69.6,6025.7,20.032380952380947,18.690239599903325,,
216,LA GUAJIRA,2006,7,0.1,2.2,25.424999999999997,29.02564202306383,,
217,MAGDALENA,2006,7,0.0,298.9,,22.508320722855203,,
218,META,2006,7,0.0,0.0,26.85,24.61142878393229,,
219,NARINO,2006,7,0.0,0.0,14.064634146341463,13.718995858482904,,
220,NORTE DE SANTANDER,2006,7,0.0,0.0,24.773913043478263,0.0,,
221,PUTUMAYO,2006,7,0.0,0.0,,23.769390697193042,,
222,QUINDIO,2006,7,0.0,0.0,15.826666666666664,19.876561689071647,,
223,RISARALDA,2006,7,0.0,0.0,15.734177215189874,19.39771710329027,,
224,SAN ANDRES PROVIDENCIA,2006,7,0.0,0.0,,,,
225,SANTANDER,2006,7,26.50000000000001,132.99999999999997,14.59296875,16.202940129564904,,
226,SUCRE,2006,7,0.0,0.0,23.050000000000004,5.278953477330373,,
227,TOLIMA,2006,7,68.6,199.20000000000002,25.44827586206897,15.83893376019018,,
228,VALLE DEL CAUCA,2006,7,0.0,0.0,19.01240310077519,20.113356576833045,,
229,VAUPES,2006,7,0.0,0.0,,,,
230,VICHADA,2006,7,0.0,0.0,,,,
231,AMAZONAS,2006,8,0.0,0.0,,,,
232,ANTIOQUIA,2006,8,0.8999999999999999,171.10000000000002,17.599999999999998,19.351798572842377,73.92307692307692,77.62522112247464
233,ARAUCA,2006,8,0.0,0.0,,,,
234,ATLANTICO,2006,8,0.0,0.0,,,,
235,BOGOTA,2006,8,2.6,14.0,12.945833333333333,14.098663351608652,,
236,BOLIVAR,2006,8,0.0,0.0,,27.974371785881246,,80.12219495091163
237,BOYACA,2006,8,0.1,106.30000000000001,16.89851851851852,14.760426009819989,82.49685534591195,80.88060578684865
238,CALDAS,2006,8,0.0,0.0,16.715555555555557,18.41868815909525,88.11111111111111,69.86336879992034
239,CAQUETA,2006,8,0.0,0.0,25.6125,23.871628611545912,86.16666666666667,86.48355554666357
